address,unit,beds,baths,rent,sqft,avail,pets,parking,built,renovated,num_units,stories,fitness,outdoor
"2001-2017 Broadway, New York, NY 10023",1 Bedroom / 1 Bathroom,1,1.0,4125,571,1,Dogs and Cats Allowed,Garage: $450,1965,N/A,683,35,Fitness Center,Roof Terrace;Balcony;Garden
"2001-2017 Broadway, New York, NY 10023",1 Bedroom / 1 Bathroom,1,1.0,4125,571,1,Dogs and Cats Allowed,Garage: $450,1965,N/A,683,35,Fitness Center,Roof Terrace;Balcony;Garden
"2001-2017 Broadway, New York, NY 10023",Jr 4 / 1 Bathroom,1,1.0,5175,859,1,Dogs and Cats Allowed,Garage: $450,1965,N/A,683,35,Fitness Center,Roof Terrace;Balcony;Garden
"2001-2017 Broadway, New York, NY 10023",Jr 4 / 1 Bathroom,1,1.0,5175,859,1,Dogs and Cats Allowed,Garage: $450,1965,N/A,683,35,Fitness Center,Roof Terrace;Balcony;Garden
"101 W End Ave, Manhattan, NY 10023",1 Bedroom / 1.5 Bathroom,1,1.5,5087,825,1,Dogs Allowed:;Cats Allowed:,,1999,N/A,503,35,Fitness Center;Playground,Balcony
"101 W End Ave, Manhattan, NY 10023",1 Bedroom / 1.5 Bathroom,1,1.5,4996,825,1,Dogs Allowed:;Cats Allowed:,,1999,N/A,503,35,Fitness Center;Playground,Balcony
"101 W End Ave, Manhattan, NY 10023",1 Bedroom / 1.5 Bathroom,1,1.5,5179,876,1,Dogs Allowed:;Cats Allowed:,,1999,N/A,503,35,Fitness Center;Playground,Balcony
"101 W End Ave, Manhattan, NY 10023",2 Bedroom / 2 Bathroom,2,2.0,7200,1023,1,Dogs Allowed:;Cats Allowed:,,1999,N/A,503,35,Fitness Center;Playground,Balcony
"101 W End Ave, Manhattan, NY 10023",2 Bedroom / 2 Bathroom,2,2.0,6875,1113,1,Dogs Allowed:;Cats Allowed:,,1999,N/A,503,35,Fitness Center;Playground,Balcony
"101 W End Ave, Manhattan, NY 10023",2 Bedroom / 2 Bathroom,2,2.0,7375,1023,1,Dogs Allowed:;Cats Allowed:,,1999,N/A,503,35,Fitness Center;Playground,Balcony
"101 W End Ave, Manhattan, NY 10023",2 Bedroom / 2 Bathroom,2,2.0,7526,1211,1,Dogs Allowed:;Cats Allowed:,,1999,N/A,503,35,Fitness Center;Playground,Balcony
"101 W End Ave, Manhattan, NY 10023",3 Bedroom / 3 Bathroom,3,3.0,11206,1772,1,Dogs Allowed:;Cats Allowed:,,1999,N/A,503,35,Fitness Center;Playground,Balcony
"101 W End Ave, Manhattan, NY 10023",3 Bedroom / 3 Bathroom,3,3.0,11206,1772,1,Dogs Allowed:;Cats Allowed:,,1999,N/A,503,35,Fitness Center;Playground,Balcony
"101 W End Ave, Manhattan, NY 10023",Studio / 1 Bathroom,0,1.0,3566,561,0,Dogs Allowed:;Cats Allowed:,,1999,N/A,503,35,Fitness Center;Playground,Balcony
"101 W End Ave, Manhattan, NY 10023",Studio / 1 Bathroom,0,1.0,3566,561,0,Dogs Allowed:;Cats Allowed:,,1999,N/A,503,35,Fitness Center;Playground,Balcony
"21 W End Ave, New York, NY 10023",2 Bedroom / 2 Bathroom,2,2.0,8459,1145,1,Dogs Allowed;Cats Allowed;Fish Allowed,,N/A,N/A,N/A,N/A,Fitness Center;Sauna,N/A
"21 W End Ave, New York, NY 10023",2 Bedroom / 2 Bathroom,2,2.0,8438,-1,1,Dogs Allowed;Cats Allowed;Fish Allowed,,N/A,N/A,N/A,N/A,Fitness Center;Sauna,N/A
"21 W End Ave, New York, NY 10023",2 Bedroom / 2 Bathroom,2,2.0,8750,-1,1,Dogs Allowed;Cats Allowed;Fish Allowed,,N/A,N/A,N/A,N/A,Fitness Center;Sauna,N/A
"21 W End Ave, New York, NY 10023",3 Bedroom / 2 Bathroom,3,2.0,10397,1185,1,Dogs Allowed;Cats Allowed;Fish Allowed,,N/A,N/A,N/A,N/A,Fitness Center;Sauna,N/A
"21 W End Ave, New York, NY 10023",3 Bedroom / 2 Bathroom,3,2.0,10397,-1,1,Dogs Allowed;Cats Allowed;Fish Allowed,,N/A,N/A,N/A,N/A,Fitness Center;Sauna,N/A
"21 W End Ave, New York, NY 10023",2 Bedroom / 2 Bathroom,2,2.0,8168,-1,0,Dogs Allowed;Cats Allowed;Fish Allowed,,N/A,N/A,N/A,N/A,Fitness Center;Sauna,N/A
"20 W 64th St, New York, NY 10023",2 Bedroom / 2.5 Bathroom,2,2.5,9325,1293,1,Pets Negotiable;Dogs and Cats Allowed;Birds and Fish Allowed;Reptiles Allowed:,Street;Garage: $650,1969,N/A,671,44,,Sundeck
"20 W 64th St, New York, NY 10023",2 Bedroom / 2.5 Bathroom,2,2.5,9325,1293,1,Pets Negotiable;Dogs and Cats Allowed;Birds and Fish Allowed;Reptiles Allowed:,Street;Garage: $650,1969,N/A,671,44,,Sundeck
"20 W 64th St, New York, NY 10023",Jr 4 / 2 Bathroom,1,2.0,6995,1056,0,Pets Negotiable;Dogs and Cats Allowed;Birds and Fish Allowed;Reptiles Allowed:,Street;Garage: $650,1969,N/A,671,44,,Sundeck
